,week_start,indicator,European Union,France,Germany,New Zealand,United Kingdom,United States
476,2021-10-25,ICU patients per million,0.0,107.149,152.969,0.0,98.713,278.909
477,2021-10-25,New cases per ten million,172.3709,59.4569,164.34120000000001,16.4118,422.3782,155.543
478,2021-10-25,Deaths per million,19.15,2.739,15.281,0.0,18.176000000000002,26.353
481,2021-11-01,ICU patients per million,0.0,112.721,193.931,0.0,106.103,239.90699999999998
482,2021-11-01,New cases per ten million,206.6909,74.361,213.34810000000002,20.3074,372.50919999999996,150.82070000000002
483,2021-11-01,Deaths per million,22.611,3.28,20.055,0.772,18.279,21.895
486,2021-11-08,ICU patients per million,0.0,120.537,236.501,0.0,103.661,233.788
487,2021-11-08,New cases per ten million,268.87420000000003,102.6837,325.2663,23.4894,394.1671,164.7049
488,2021-11-08,Deaths per million,25.68,3.605,27.42,0.193,16.576,22.256
491,2021-11-15,ICU patients per million,0.0,135.548,288.414,0.0,96.224,242.901
492,2021-11-15,New cases per ten million,343.0348,185.2193,421.8,25.1094,437.5095,200.0875
493,2021-11-15,Deaths per million,29.413,4.905,32.506,1.351,15.152999999999999,30.377
496,2021-11-22,ICU patients per million,0.0,157.123,351.698,0.0,95.617,260.582
497,2021-11-22,New cases per ten million,396.8512,302.07669999999996,483.8057,24.396,445.9292,175.1144
498,2021-11-22,Deaths per million,31.021,7.025,37.1,0.579,13.923,16.82
501,2021-11-29,ICU patients per million,0.0,199.873,397.759,0.0,93.531,284.804
502,2021-11-29,New cases per ten million,410.5551,446.87309999999997,465.46090000000004,17.1252,497.4142,222.004
503,2021-11-29,Deaths per million,31.877,9.578,34.365,0.193,13.937999999999999,24.548000000000002
506,2021-12-06,ICU patients per million,0.0,251.692,413.062,0.0,92.55,311.201
507,2021-12-06,New cases per ten million,387.725,521.8979,405.432,12.6706,539.336,246.8207
508,2021-12-06,Deaths per million,31.341,13.973,30.143,0.579,13.923,25.38
511,2021-12-13,ICU patients per million,0.0,294.766,400.577,0.0,91.113,329.722
